transaction_id,timestamp,amount,merchant_id,location_latitude,location_longitude,country,ip_address,,failed_login_attempts,transaction_channel,currency,previous_transaction_time
c98f710c-d6c0-4c20-9476-3ca2a1180cd0,06-04-2025 16:10,9394.39,MCT3883,84.6661445,-2.761098,USA,120.110.0.0/22,,4,Web,KRW,04-04-2025 00:35
e1b18ab3-987d-4964-936b-b9aed74fc698,13-11-2025 15:27,1057.11,MCT4474,-47.7210065,-114.62508,Japan,32.0.0.0/3,,4,MobileApp,GBP,08-11-2025 00:04
718505a4-f481-44bf-b28c-5234d77926e5,30-07-2025 20:45,9378.72,MCT8890,-6.072315,108.381587,France,187.48.220.0/23,,4,API,MYR,29-07-2025 05:44
b41e6d48-0156-47dc-9f79-3131b8ecd916,18-08-2025 05:34,3671.32,MCT3848,-88.526179,17.65867,Japan,23.0.0.0/9,,6,API,INR,13-08-2025 06:53
b8e9e49c-ba2b-4afe-9d53-cf4ed382420f,25-09-2025 07:55,4150.56,MCT9382,-47.6902925,-78.593629,Australia,112.0.0.0/5,,1,MobileApp,MYR,20-09-2025 10:13
f8b0cc56-b3c2-48e1-bb10-1381ae754ab0,30-11-2025 03:14,6508.98,MCT9572,-34.7550825,-25.92596,Australia,166.154.113.64/26,,2,API,GBP,26-11-2025 00:03
9384669a-72a5-4fca-bc3e-33e305eb24ac,27-11-2025 21:21,5196.47,MCT2135,-52.1156325,-68.534233,UK,42.160.0.0/11,,6,MobileApp,KRW,25-11-2025 18:02
e05e498a-1ee3-4f79-8ddd-054fca360fb5,07-05-2025 05:55,778.19,MCT3947,28.18096,124.624928,Russia,93.0.0.0/8,,5,Web,KRW,01-05-2025 08:29
11475f4f-4323-48f4-877f-d4a87e21a501,23-01-2025 08:13,665.79,MCT8788,-67.660418,66.886303,Russia,57.169.128.0/17,,7,API,JPY,21-01-2025 04:49
d12cab48-8f4a-4375-a0b9-336fcf640574,18-09-2025 19:37,1373.14,MCT9750,27.3398195,11.747062,Australia,64.206.99.0/24,,1,API,SGD,17-09-2025 13:22
93434063-98dc-4b3e-be86-169790dce8cb,18-07-2025 01:59,8378.33,MCT7113,48.841629,3.460447,Malaysia,161.0.0.0/8,,5,MobileApp,INR,14-07-2025 03:22
245b7825-78eb-45a3-a554-a6d382c31a25,14-12-2024 17:24,4989.88,MCT9166,20.0338675,122.599175,Vietnam,100.146.164.240/29,,4,Web,KRW,12-12-2024 14:05
ea300945-fb9c-48b4-931f-d3cbef3d866e,06-01-2025 23:53,7752.52,MCT1904,-37.3973715,-178.133683,Australia,76.109.16.0/20,,5,Web,KRW,06-01-2025 22:42
dbf98c59-640c-4b52-9e86-3a913f13f4e9,22-08-2025 22:21,6988.89,MCT4003,31.1904695,-164.014048,Thailand,96.64.0.0/13,,2,MobileApp,GBP,22-08-2025 09:17
